query_name,query,description
Memory Usage Percentage,"100 - ((node_memory_MemAvailable_bytes{instance=$} * 100) / node_memory_MemTotal_bytes{instance=$})",memory used percentage
Memory Apps,"(node_memory_MemTotal_bytes{instance=$} - node_memory_MemFree_bytes{instance=$} - node_memory_Buffers_bytes{instance=$} - node_memory_Cached_bytes{instance=$} - node_memory_Slab_bytes{instance=$} - node_memory_PageTables_bytes{instance=$} - node_memory_SwapCached_bytes{instance=$})/(1024*1024)",used memory by applications
Memory Pagetables,"node_memory_PageTables_bytes{instance=$}/(1024*1024)",used memory for to map between virtual and physical memory address
Memory Swap Cache,"node_memory_SwapCached_bytes{instance=$}/(1024*1024)",cache memory which is not processed yet
Memory Slab,"node_memory_Slab_bytes{instance=$}/(1024*1024)",Memory used by the kernel to cache data structures for its own use (caches like inode or dentry etc)
Memory Cache,"node_memory_Cached_bytes{instance=$}/(1024*1024)",cache parked file data
Memory Buffer,"node_memory_Buffers_bytes{instance=$}/(1024*1024)",Block device(eg. Hard Disk) cache
Free Memory,"node_memory_MemFree_bytes{instance=$}/(1024*1024)",Free memory
Swap Space Used,"(node_memory_SwapTotal_bytes{instance=$} - node_memory_SwapFree_bytes{instance=$})/(1024*1024)",Swap space used
Swap Used Percentage,"((node_memory_SwapTotal_bytes{instance=$} - node_memory_SwapFree_bytes{instance=$}) / (node_memory_SwapTotal_bytes{instance=$} )) * 100",swap usage percentage
Hardware Corrupted,"node_memory_HardwareCorrupted_bytes{instance=$}/(1024*1024)",Amount Of Ram Kernel identified as corrupted not working
Cpu Core Number, count(count(node_cpu_seconds_total{instance=$) by (cpu)), number of cores of cpu
Cpu Mode System Load,"sum by(instance) (irate(node_cpu_seconds_total{instance=$, mode=%22system%22}[#])) / on(instance) group_left sum by (instance)((irate(node_cpu_seconds_total{instance=$}[#])))",Processes executing in kernel mode
Cpu Mode User Load,"sum by(instance) (irate(node_cpu_seconds_total{instance=$, mode=%22user%22}[#])) / on(instance) group_left sum by (instance)((irate(node_cpu_seconds_total{instance=$}[#])))",Processes executing in user mode e.g. applications
Cpu Mode Nice Load,"sum by(instance) (irate(node_cpu_seconds_total{instance=$, mode=%22nice%22}[#])) / on(instance) group_left sum by (instance)((irate(node_cpu_seconds_total{instance=$}[#])))",Executed Niced processes by cpu
Cpu Mode IOwait Load,"sum by(instance) (irate(node_cpu_seconds_total{instance=$, mode=%22iowait%22}[#])) / on(instance) group_left sum by (instance)((irate(node_cpu_seconds_total{instance=$}[#])))",Cpu proportion waiting for I/O to complete
Cpu Mode IRQ load,"sum by(instance) (irate(node_cpu_seconds_total{instance=$, mode=%22irq%22}[#])) / on(instance) group_left sum by (instance)((irate(node_cpu_seconds_total{instance=$}[#])))",Cpu propotion Servicing interrupts
Cpu Mode SoftIRQ load,"sum by(instance) (irate(node_cpu_seconds_total{instance=$, mode=%22softirq%22}[#])) / on(instance) group_left sum by (instance)((irate(node_cpu_seconds_total{instance=$}[#])))",processing software interrupts
